Robot,LLM,Pose,Error,Joint
nao,chat,T_pose,0.2362618978500366,LShoulderRoll
nao,chat,T_pose,0.2423140342712402,RShoulderRoll
nao,claude,T_pose,0.008088102149963472,LShoulderRoll
nao,claude,T_pose,0.0020359657287598587,RShoulderRoll
nao,gemini,T_pose,0.2362618978500366,LShoulderRoll
nao,gemini,T_pose,0.2423140342712402,RShoulderRoll
nao,deepseek,T_pose,0.2362618978500366,LShoulderRoll
nao,deepseek,T_pose,0.2423140342712402,RShoulderRoll
nao,chat,salute,0.027822017669677734,LShoulderPitch
nao,chat,salute,0.07118601799011232,RShoulderPitch
nao,chat,salute,0.7990038394927979,RElbowYaw
nao,chat,salute,1.0555181503295898,RElbowRoll
nao,claude,salute,0.027822017669677734,LShoulderPitch
nao,claude,salute,0.3711860179901123,RShoulderPitch
nao,claude,salute,0.7009961605072021,RElbowYaw
nao,claude,salute,0.5555181503295898,RElbowRoll
nao,gemini,salute,1.5278220176696777,LShoulderPitch
nao,gemini,salute,1.1996139820098877,RShoulderPitch
nao,gemini,salute,0.7009961605072021,RElbowYaw
nao,gemini,salute,0.01528184967041013,RElbowRoll
nao,deepseek,salute,3.097822017669678,LShoulderPitch
nao,deepseek,salute,1.1988139820098878,RShoulderPitch
nao,deepseek,salute,0.7009961605072021,RElbowYaw
nao,deepseek,salute,1.5555181503295898,RElbowRoll
nao,chat,superhero,0.41480202674865724,LShoulderRoll
nao,chat,superhero,0.8070100545883179,LShoulderPitch
nao,chat,superhero,0.44983191490173335,RShoulderRoll
nao,chat,superhero,1.0412919521331787,LElbowYaw
nao,chat,superhero,2.409872055053711,RShoulderPitch
nao,chat,superhero,1.0843279361724854,RElbowYaw
nao,chat,superhero,0.5187020301818848,RElbowRoll
nao,chat,superhero,0.26397407054901123,LElbowRoll
nao,claude,superhero,0.21480202674865723,LShoulderRoll
nao,claude,superhero,1.8070100545883179,LShoulderPitch
nao,claude,superhero,0.2501680850982666,RShoulderRoll
nao,claude,superhero,0.4587080478668213,LElbowYaw
nao,claude,superhero,1.909872055053711,RShoulderPitch
nao,claude,superhero,0.41567206382751465,RElbowYaw
nao,claude,superhero,0.0512979698181153,RElbowRoll
nao,claude,superhero,0.30602592945098883,LElbowRoll
nao,gemini,superhero,0.7148020267486572,LShoulderRoll
nao,gemini,superhero,0.2370100545883178,LShoulderPitch
nao,gemini,superhero,0.7501680850982666,RShoulderRoll
nao,gemini,superhero,0.4587080478668213,LElbowYaw
nao,gemini,superhero,0.3398720550537109,RShoulderPitch
nao,gemini,superhero,0.41567206382751465,RElbowYaw
nao,gemini,superhero,0.0512979698181153,RElbowRoll
nao,gemini,superhero,0.30602592945098883,LElbowRoll
nao,deepseek,superhero,0.07059797325134276,LShoulderRoll
nao,deepseek,superhero,0.2362100545883179,LShoulderPitch
nao,deepseek,superhero,0.035231914901733385,RShoulderRoll
nao,deepseek,superhero,0.4587080478668213,LElbowYaw
nao,deepseek,superhero,0.33907205505371096,RShoulderPitch
nao,deepseek,superhero,0.41567206382751465,RElbowYaw
nao,deepseek,superhero,0.05209796981811521,RElbowRoll
nao,deepseek,superhero,0.30682592945098874,LElbowRoll
nao,chat,sit,0.4973859310150146,RHipPitch
nao,chat,sit,0.0871438980102539,RShoulderPitch
nao,chat,sit,0.018412017822265536,LKneePitch
nao,chat,sit,0.07972598075866699,RAnkleRoll
nao,chat,sit,0.09029591083526611,LShoulderPitch
nao,chat,sit,0.5005380630493164,LHipPitch
nao,chat,sit,0.1827559471130371,LAnklePitch
nao,chat,sit,0.34693202972412107,RHipYawPitch
nao,chat,sit,0.07827591896057129,LAnkleRoll
nao,chat,sit,0.34693202972412107,LHipYawPitch
nao,chat,sit,0.18267202377319336,RAnklePitch
nao,chat,sit,0.0827939510345459,LHipRoll
nao,chat,sit,0.0813438892364502,RHipRoll
nao,chat,sit,0.012360000610351474,RKneePitch
nao,claude,sit,0.29738593101501465,RHipPitch
nao,claude,sit,0.21285610198974614,RShoulderPitch
nao,claude,sit,0.11841201782226562,LKneePitch
nao,claude,sit,0.07972598075866699,RAnkleRoll
nao,claude,sit,0.20970408916473393,LShoulderPitch
nao,claude,sit,0.3005380630493164,LHipPitch
nao,claude,sit,0.2827559471130371,LAnklePitch
nao,claude,sit,0.2530679702758789,RHipYawPitch
nao,claude,sit,0.07827591896057129,LAnkleRoll
nao,claude,sit,0.2530679702758789,LHipYawPitch
nao,claude,sit,0.28267202377319334,RAnklePitch
nao,claude,sit,0.0827939510345459,LHipRoll
