Robot,LLM,Pose,Avg1,Avg2,Sum1,Sum2
nao,chat,T_pose,0.2392879660606384,0.2392879660606384,0.4785759321212768,0.4785759321212768
nao,claude,T_pose,0.005062033939361665,0.019984316969680834,0.01012406787872333,0.07993726787872334
nao,gemini,T_pose,0.2392879660606384,0.2392879660606384,0.4785759321212768,0.4785759321212768
nao,deepseek,T_pose,0.2392879660606384,1.1269626553535461,0.4785759321212768,6.761775932121277
nao,chat,salute,0.4883825063705444,0.5816912531852723,1.9535300254821777,4.653530025482178
nao,claude,salute,0.4138805866241455,0.3444402933120727,1.655522346496582,2.7555223464965817
nao,gemini,salute,0.8609285024642945,0.7887428019714356,3.443714009857178,3.943714009857178
nao,deepseek,salute,1.6382875776290895,1.6155250517527264,6.553150310516358,9.693150310516359
nao,chat,superhero,0.8737265050411225,0.7988680044809977,6.98981204032898,7.189812040328979
nao,claude,superhero,0.6766945290565491,0.6126173591613769,5.413556232452393,5.513556232452393
nao,gemini,superhero,0.4091945290565491,0.4091945290565491,3.2735562324523926,3.2735562324523926
nao,deepseek,superhero,0.2393020010948181,0.2393020010948181,1.914416008758545,1.914416008758545
nao,chat,sit,0.18482625654765533,0.3755984567460559,2.5875675916671748,7.887567591667175
nao,claude,sit,0.1889257039342608,0.24973472921471848,2.644959855079651,4.744959855079651
nao,gemini,sit,0.2948262565476553,0.30183783944447834,4.127567591667175,4.527567591667175
nao,deepseek,sit,0.47413686513900755,0.4576620062192281,6.637916111946105,8.237916111946106
atlas,chat,T_pose,0.0,0.0,0.0,0.0
atlas,claude,T_pose,0.0,0.0,0.0,0.0
atlas,gemini,T_pose,0.0,0.0,0.0,0.0
atlas,deepseek,T_pose,0.0,0.0,0.0,0.0
atlas,chat,salute,1.2059347741935482,1.1716123118279569,6.029673870967741,7.029673870967741
atlas,claude,salute,0.9859347741935484,0.5754248973607038,4.929673870967742,6.329673870967741
atlas,gemini,salute,1.5400947741935485,1.5400947741935485,7.700473870967742,7.700473870967742
atlas,deepseek,salute,0.7859347741935483,0.8912092338709677,3.9296738709677417,7.129673870967742
atlas,chat,superhero,1.5433333333333337,1.3075,9.260000000000002,10.46
atlas,claude,superhero,0.8666666666666668,0.8541599999999999,5.200000000000001,8.541599999999999
atlas,gemini,superhero,1.6048666666666669,1.6048666666666669,9.6292,9.6292
atlas,deepseek,superhero,1.1333333333333335,1.1333333333333335,6.800000000000001,6.800000000000001
atlas,chat,sit,0.7044946236559141,0.5918853046594984,4.226967741935485,5.326967741935485
atlas,claude,sit,0.7711612903225809,0.6427628083491461,4.626967741935485,10.926967741935485
atlas,gemini,sit,0.6769946236559141,0.6769946236559141,4.061967741935485,4.061967741935485
atlas,deepseek,sit,0.804494623655914,0.6297243401759531,4.8269677419354835,6.926967741935484
h12,chat,T_pose,1.57,1.57,7.8500000000000005,10.99
h12,claude,T_pose,2.19832,2.19832,10.9916,10.9916
h12,gemini,T_pose,1.57,1.5702275219413993,7.8500000000000005,10.991592653589795
h12,deepseek,T_pose,0.9423199999999999,1.1218857142857144,4.7116,7.8532
h12,chat,salute,0.5,0.7140000000000001,2.0,3.5700000000000003
h12,claude,salute,1.235,1.302,4.94,6.510000000000001
h12,gemini,salute,1.1,1.0916560933699704,4.4,7.641592653589793
h12,deepseek,salute,0.9850000000000001,1.18,3.9400000000000004,7.08
h12,chat,superhero,0.6000000000000001,0.7250000000000001,2.4000000000000004,5.800000000000001
h12,claude,superhero,0.6700000000000002,0.9700000000000001,2.6800000000000006,5.82
h12,gemini,superhero,0.8853981633974483,0.9932644219302144,3.541592653589793,11.919173063162573
h12,deepseek,superhero,0.885,1.1133333333333333,3.54,6.68
h12,chat,sit,0.2666666666666666,0.45285714285714285,1.5999999999999996,3.17
h12,claude,sit,1.0805333333333333,0.8593818181818182,6.4832,9.4532
h12,gemini,sit,0.0,0.0,0.0,0.0
h12,deepseek,sit,1.3088666666666666,1.3461714285714286,7.8532,9.4232
khr3hv,chat,T_pose,1.57,1.5704,3.14,6.2816
khr3hv,claude,T_pose,1.57,1.57,3.14,3.14
khr3hv,gemini,T_pose,1.57,1.5704,3.14,6.2816
khr3hv,deepseek,T_pose,1.5708,1.5708,3.1416,9.4248
khr3hv,chat,salute,1.425,1.16,5.7,5.8
khr3hv,claude,salute,1.5425,0.80875,6.17,6.47
khr3hv,gemini,salute,2.1854,2.1854,8.7416,8.7416
khr3hv,deepseek,salute,2.0275,2.0275,8.11,8.11
khr3hv,chat,superhero,1.623333333333333,1.3425,9.739999999999998,10.74
khr3hv,claude,superhero,1.09,1.0175,6.540000000000001,8.14
khr3hv,gemini,superhero,1.5236,1.5354,9.1416,12.2832
khr3hv,deepseek,superhero,1.5233333333333334,1.5350000000000001,9.14,12.280000000000001
khr3hv,chat,sit,3.37,2.4133333333333336,13.48,14.48
khr3hv,claude,sit,1.0150000000000001,0.8600000000000001,4.0600000000000005,8.600000000000001
khr3hv,gemini,sit,3.3708,2.7708,13.4832,16.6248
khr3hv,deepseek,sit,3.4499999999999997,1.2619047619047616,13.799999999999999,26.499999999999996
